Id,Name,Description,ProviderBarId,IsAdminApproved
1,Whisky,"A type of liquor made from fermented grain mash. Various grains (which may be malted) are used for different varieties, including barley, corn, rye, and wheat. Whisky is typically aged in wooden casks, which are typically made of charred white oak.",,1
2,Rye Whisky,"American Rye whiskey is, by law, made from a mash of at least 51 percent rye. (The other ingredients in the mash are usually corn and malted barley.) It is distilled to no more than 160 U.S. proof (80% abv) and aged in charred, new oak barrels. The whiskey must be put in the barrels at no more than 125 proof (62.5% abv). ",,1
3,Straight Whisky,"Whiskey that has been aged for at least two years and has not been blended with other spirits may be further designated as straight, as in ""straight whiskey"".",,1
4,Tennesee Whisky,All current Tennessee whiskey producers are required by Tennessee law to produce their whiskeys in Tennessee and to use a filtering step known as the Lincoln County Process prior to aging the whiskey.,,1
5,Bourbon Whisky,"A whiskey produced in the U.S. and it's territories made from a grain mixture that is at least 51% corn and aged in new, charred oak containers. Bourbon is distilled to no more than 160 (U.S.) proof (80% alcohol by volume) and entered into the container for aging at no more than 125 proof (62.5% alcohol by volume). It is then
bottled at 80 proof or more (40% alcohol by volume).",,1
6,Irish Whisky,"A whiskey distilled and matured on the island of Ireland (comprising the Republic of Ireland and Northern Ireland) from a mash of malted cereals with or without whole grains of other cereals and which has been: Saccharified by the diastase of malt contained therein, with or without other natural enzymes; Fermented by the action of yeast; Distilled at an alcoholic strength of less than 94.8% alcohol by volume in such a way that the distillate has an aroma and taste derived from the materials used and only plain water and caramel colour is added to it; Subject to the maturation of the final distillate for at least three years in wooden casks, such as oak, not exceeding 700 litres (185 US gal; 154 imp gal) capacity; Retain the colour, aroma and taste derived from the production process referred to previously; And must have a minimum alcoholic by volume content of 40%. Individual technical specifications for the three varieties of Irish whiskey, ""single pot still"", ""single malt"", ""single grain"", plus ""blended"" whiskey (a mix of two or more of these varieties) are also outlined in the technical file.[39] The use of the term ""single"" in the aforementioned varieties being permissible only if the whiskey is totally distilled on the site of a single distillery.",,1
7,Canadian Whisky,"A type of whisky produced in Canada. Most Canadian whiskies are blended multi-grain liquors containing a large percentage of corn spirits, and are typically lighter and smoother than other whisky styles. When Canadian distillers began adding small amounts of highly-flavourful rye grain to their mashes, people began demanding this new rye-flavoured whisky, referring to it simply as ""rye"". Today, as for the past two centuries, the terms ""rye whisky"" and ""Canadian whisky"" are used interchangeably in Canada and (as defined in Canadian law) refer to exactly the same product, which generally is made with only a small amount of rye grain.",,1
8,Japanese Whisky,"A style of whisky developed and produced in Japan. Whisky production in Japan began around 1870, but the first commercial production was in 1923 upon the opening of the country's first distillery, Yamazaki. Broadly speaking, the style of Japanese whisky is more similar to that of Scotch whisky than other major styles of whisky.",,1
9,Scotch Whisky,"Is malt whisky or grain whisky (or a blend of the two), made in Scotland. All Scotch whisky must be aged immediately after distillation in oak barrels for at least three years.[5][6] Any age statement on a bottle of Scotch whisky, expressed in numerical form, must reflect the age of the youngest whisky used to create that product. A whisky with an age statement is known as guaranteed-age whisky. A whisky without an age statement is known as a no age statement (NAS) whisky, the only guarantee being that all whisky contained in that bottle is at least three years old. The minimum bottling strength according to existing regulations is 40% alcohol by volume. Scotch whisky is divided into five distinct categories: single malt Scotch whisky, single grain Scotch whisky, blended malt Scotch whisky (formerly called ""vatted malt"" or ""pure malt""), blended grain Scotch whisky, and blended Scotch whisky. Some distilleries use a peat fire to dry the barley for some of their products before grinding it and making the mash. Peat smoke contributes phenolic compounds, such as guaiacol, that give aromas similar to smoke. ",,1
10,Blended Whisky,"The product of blending different types of whiskeys and sometimes also neutral spirits, colorings, and flavorings. It is generally the product of mixing one or more higher-quality straight or single malt whiskey with less expensive spirits and other ingredients. This typically allows for a lower priced finished product, although expensive ""premium"" varieties also exist.",,1
