Id,ComponentTypeId,RegionId,Name,Abv,Ibu,Description,Year,CityId,CountryId,StateId,ProducerId,ImporterId,IsAdminApproved,ProviderBarId
1,6,,Lemon,,,,,,,,,,1,
2,6,,Lime,,,,,,,,,,1,
3,6,,Grapefruit,,,,,,,,,,1,
4,6,,Orange,,,,,,,,,,1,
5,5,,Maraschino Cherry,,,,,,,,,,1,
6,5,,Brandied Cherry,,,,,,,,,,1,
7,5,,Lemon Wheel,,,,,,,,,,1,
8,5,,Lemon Wedge,,,,,,,,,,1,
9,5,,Lemon Twist,,,,,,,,,,1,
10,5,,Dehydrated Lemon Wheel,,,,,,,,,,1,
11,5,,Lime Wheel,,,,,,,,,,1,
12,5,,Lime Wedge,,,,,,,,,,1,
13,5,,Lime Twist,,,,,,,,,,1,
14,5,,Dehydrated Lime Wheel,,,,,,,,,,1,
15,5,,Orange Slice,,,,,,,,,,1,
16,5,,Orange Wheel,,,,,,,,,,1,
17,5,,Orange Twist,,,,,,,,,,1,
18,5,,Grapefruite Twist,,,,,,,,,,1,
19,5,,Olives,,,,,,,,,,1,
20,5,,Blue Cheese Stuffed Olives,,,,,,,,,,1,
21,5,,Pomento Stuffed Olives,,,,,,,,,,1,
22,6,,Blue Cheese,,,,,,,,,,1,
23,7,,Juniper Berries,,,,,,,,,,1,
24,4,,Lemon Juice,,,,,,,,,,1,
25,4,,Lime Juice,,,,,,,,,,1,
26,4,,Orange Juice,,,,,,,,,,1,
27,4,,Grapefruit Juice,,,,,,,,,,1,
28,4,,Olive Juice,,,,,,,,,,1,
29,4,,Grenadine,,,,,,,,,,1,
30,7,,White Sugar,,,,,,,,,,1,
31,4,,Simple Syrup,,,,,,,,,,1,
32,7,,Demerara Sugar,,,,,,,,,,1,
33,4,,Demerara Simple Syrup,,,,,,,,,,1,
34,4,,Rich Simple,,,,,,,,,,1,
35,7,,Salt,,,,,,,,,,1,
36,4,,Club Soda,,,,,,,,,,1,
37,4,,Tonic Water,,,,,,,,,,1,
38,4,,Coke,,,,,,,,,,1,
39,4,,Sprite,,,,,,,,,,1,
40,4,,Diet Coke,,,,,,,,,,1,
41,4,,Ginger Ale,,,,,,,,,,1,
42,4,,Ginger Beer,,,,,,,,,,1,
43,6,,Egg,,,,,,,,,,1,
44,4,,Egg White,,,,,,,,,,1,
45,7,,Apple Cider Vinegar,,,,,,,,,,1,
46,6,,Mint,,,,,,,,,,1,
47,6,,Basil,,,,,,,,,,1,
48,6,,Rosemary,,,,,,,,,,1,
49,6,,Thyme,,,,,,,,,,1,
50,6,,Milk,,,,,,,,,,1,
51,6,,Heavy Cream,,,,,,,,,,1,
52,5,,Mint Leaf,,,,,,,,,,1,
53,5,,Mint Sprig,,,,,,,,,,1,
54,5,,Rosemary Sprig,,,,,,,,,,1,
55,5,,Rosemary Leaf,,,,,,,,,,1,
56,5,,Basil Sprig,,,,,,,,,,1,
57,5,,Basil Leaf,,,,,,,,,,1,
58,7,,Ground Cinnamon,,,,,,,,,,1,
59,7,,Star Anise,,,,,,,,,,1,
60,7,,Cinnamon Stick,,,,,,,,,,1,
61,7,,Allspice Berries,,,,,,,,,,1,
62,7,,Ground Allspice,,,,,,,,,,1,
63,7,,Whole Clove,,,,,,,,,,1,
64,7,,Ground Clove,,,,,,,,,,1,
65,7,,Turmeric,,,,,,,,,,1,
66,7,,Whole Nutmeg,,,,,,,,,,1,
67,7,,Ground Nutmeg,,,,,,,,,,1,
