Id,Name,CountryId
1,Alabama,187
2,Alaska,187
3,Arizona,187
4,Arkansas,187
5,California,187
6,Colorado,187
7,Connecticut,187
8,Delaware,187
9,Florida,187
10,Georgia,187
11,Hawaii,187
12,Idaho,187
13,Illinois,187
14,Indiana,187
15,Iowa,187
16,Kansas,187
17,Kentucky,187
18,Louisiana,187
19,Maine,187
20,Maryland,187
21,Massachusetts,187
22,Michigan,187
23,Minnesota,187
24,Mississippi,187
25,Missouri,187
26,Montana,187
27,Nebraska,187
28,Nevada,187
29,New Hampshire,187
30,New Jersey,187
31,New Mexico,187
32,New York,187
33,North Carolina,187
34,North Dakota,187
35,Ohio,187
36,Oklahoma,187
37,Oregon,187
38,Pennsylvania,187
39,Rhode Island,187
40,South Carolina,187
41,South Dakota,187
42,Tennessee,187
43,Texas,187
44,Utah,187
45,Vermont,187
46,Virginia,187
47,Washington,187
48,West Virginia,187
49,Wisconsin,187
50,Wyoming,187
51,Alberta,33
52,British Columbia,33
53,Manitoba,33
54,New Brunswick,33
55,Newfoundland and Labrador,33
56,Northwest Territories,33
57,Nova Scotia,33
58,Nunavut,33
59,Ontario,33
60,Prince Edward Island,33
61,Quebec,33
62,Saskatchewan,33
63,Yukon,33
64,Auvergne-Rhône-Alpes,61
65,Bourgogne-Franche-Comté,61
66,Brittany,61
67,Centre-Val de Loire,61
68,French Guiana,61
69,Grand Est,61
70,Guadeloupe,61
71,Ile-de-France,61
72,Limousin,61
73,Martinique,61
74,Mayotte,61
75,Normandy,61
76,Nouvelle-Aquitaine,61
77,Occitanie,61
78,Pays de la Loire,61
79,Provence-Alpes-Côte d'Azur,61
80,Réunion,61
81,Upper France,61
82,Andalusia,165
83,Aragon,165
84,Basque Country,165
85,Cantabria,165
86,Castile and León,165
87,Castile-La Mancha,165
88,Catalonia,165
89,Ceuta,165
90,Extremadura,165
91,Galicia,165
92,Illes Balears,165
93,La Rioja,165
94,Melilla,165
95,Principality of Asturias,165
96,Region of Murcia,165
97,Valencian Communit,165
98,Abruzzo,84
99,Basilicata,84
100,Calabria,84
101,Campania,84
102,Emilia-Romagna,84
103,Friuli Venezia Giulia,84
104,Lazio,84
105,Liguria,84
106,Lombardy,84
107,Marche,84
108,Molise,84
109,Piemonte,84
110,Puglia,84
111,Sardinia,84
112,Sicily,84
113,Trentino-Alto Adige/Südtirol,84
114,Tuscany,84
115,Umbria,84
116,Valle d'Aosta,84
117,Veneto,84
118,Azores,141
119,Aveiro,141
120,Beja,141
121,Braga,141
122,Bragança,141
123,Castelo Branco,141
124,Coimbra,141
125,Évora,141
126,Faro,141
127,Guarda,141
128,Leiria,141
129,Lisbon,141
130,Madeira,141
131,Portalegre,141
132,Porto,141
133,Santarém,141
134,Setúbal,141
135,Viana do Castelo,141
136,Vila Real,141
137,Viseu,141
138,Baden-Württemberg,65
139,Bavaria,65
140,Berlin,65
141,Brandenburg,65
142,Bremen,65
143,Hamburg,65
144,Hesse,65
145,Lower Saxony,65
146,Mecklenburg-Vorpommern,65
147,North Rhine-Westphalia,65
148,Rhineland-Palatinate,65
149,Saarland,65
150,Saxony,65
151,Saxony-Anhalt,65
152,Schleswig-Holstein,65
153,Thuringia,65
154,Burgenland,10
155,Carinthia,10
156,Lower Austria,10
157,Salzburg(erland),10
158,Styria,10
159,Tyrol,10
160,Upper Austria,10
161,Vienna,10
162,Vorarlberg,10
163,Connacht,82
164,Leinster,82
165,Munster,82
166,Ulster,82
167,Scotland,186
168,Northern Ireland,186
169,England,186
170,Wales,186
171,Drenthe,123
172,Flevoland,123
173,Friesland,123
174,Gelderland,123
175,Groningen,123
176,Limburg,123
177,North Brabant,123
178,North Holland,123
179,Overijssel,123
180,South Holland,123
181,Utrecht,123
182,Zeeland,123
183,Bonaire,123
184,Sint Eustatius,123
185,Saba,123
186,New South Wales,9
187,Victoria,9
188,Queensland,9
189,Western Australia,9
190,South Australia,9
191,Tasmania,9
192,Australian Capital Territory,9
193,Northern Territory,9
194,Jervis Bay Territory,9
195,Norfolk Island,9
196,Christmas Island,9
197,Cocos (Keeling) Islands,9
198,Australian Antarctic Territory,9
199,Coral Sea Islands,9
200,Ashmore and Cartier Islands,9
201,Heard Island and McDonald Islands,9
202,Northland (Te Tai Tokerau),124
203,Auckland (Tāmaki-makau-rau),124
204,Waikato,124
205,Bay of Plenty (Te Moana-a-Toi),124
206,Gisborne (Te Tairāwhiti),124
207,Hawke's Bay (Te Matau-a-Māui),124
208,Taranaki,124
209,Manawatū-Whanganui,124
210,Wellington (Te Whanga-nui-a-Tara),124
211,Tasman (Te Tai-o-Aorere),124
212,Nelson (Whakatū),124
213,Marlborough (Te Tauihu-o-te-waka),124
214,West Coast (Te Tai Poutini),124
