Id,Varietal Type Id,Name,Description
,1,Admiral,Bittering Hop
,1,Agnus,Bittering Hop
,1,Apollo,Bittering Hop
,1,Banner,Bittering Hop
,1,Bitter Gold,Bittering Hop
,1,Bravo,Bittering Hop
,1,Brewer’s Gold,Bittering Hop
,1,Brewer’s Gold (US),Bittering Hop
,1,Bullion,Bittering Hop
,1,Bullion 10A,Bittering Hop
,1,California Cluster,Bittering Hop
,1,Chelan,Bittering Hop
,1,Cluster (AUS),Bittering Hop
,1,Comet,Bittering Hop
,1,Eastern Gold,Bittering Hop
,1,Eroica,Bittering Hop
,1,Feux-Coeur,Bittering Hop
,1,Galena,Bittering Hop
,1,Kitamidori,Bittering Hop
,1,Magnum,Bittering Hop
,1,Magnum (US),Bittering Hop
,1,Millennium,Bittering Hop
,1,Newport,Bittering Hop
,1,Outeniqua,Bittering Hop
,1,Pacific Gem,Bittering Hop
,1,Pacific Sunrise,Bittering Hop
,1,Pilot,Bittering Hop
,1,Pride of Ringwood,Bittering Hop
,1,Satus®,Bittering Hop
,1,Sorachi Ace,Bittering Hop
,1,Southern Brewer,Bittering Hop
,1,Southern Star,Bittering Hop
,1,Sovereign,Bittering Hop
,1,Summit™,Bittering Hop
,1,Super Pride,Bittering Hop
,1,Symphony,Bittering Hop
,1,Tillicum®,Bittering Hop
,1,Toyomidori,Bittering Hop
,1,Warrior®,Bittering Hop
,1,Yakima Cluster,Bittering Hop
,1,Zenith,Bittering Hop
,1,Zeus,Bittering Hop
,1,Ahil,Aromatic Hop
,1,Ahtanum™,Aromatic Hop
,1,Amarillo™ VGXP01,Aromatic Hop
,1,Amethyst,Aromatic Hop
,1,Aquila,Aromatic Hop
,1,Aramis,Aromatic Hop
,1,Atlas,Aromatic Hop
,1,Backa,Aromatic Hop
,1,Bianca,Aromatic Hop
,1,Blato,Aromatic Hop
,1,Blisk,Aromatic Hop
,1,Boadicea,Aromatic Hop
,1,BOR,Aromatic Hop
,1,Bramling,Aromatic Hop
,1,Canadian Redvine,Aromatic Hop
,1,Canterbury Whitebine,Aromatic Hop
,1,Cascade (Argentina),Aromatic Hop
,1,Cascade (Australia),Aromatic Hop
,1,Cekin,Aromatic Hop
,1,Celeia,Aromatic Hop
,1,Cobb,Aromatic Hop
,1,Columbia,Aromatic Hop
,1,Crystal,Aromatic Hop
,1,Dana,Aromatic Hop
,1,Defender,Aromatic Hop
,1,Density,Aromatic Hop
,1,Dunav,Aromatic Hop
,1,Early Bird,Aromatic Hop
,1,Early Green,Aromatic Hop
,1,Early Prolific,Aromatic Hop
,1,Early Promise,Aromatic Hop
,1,East Kent Golding,Aromatic Hop
,1,Eastern Green,Aromatic Hop
,1,Eastwell Golding,Aromatic Hop
,1,El Dorado ®,Aromatic Hop
,1,Ella,Aromatic Hop
,1,Elsaesser,Aromatic Hop
,1,Equinox,Aromatic Hop
,1,First Choice,Aromatic Hop
,1,Fuggle,Aromatic Hop
,1,Fuggle (US),Aromatic Hop
,1,Fuggle H,Aromatic Hop
,1,Fuggle N,Aromatic Hop
,1,Furano Ace,Aromatic Hop
,1,Gargoyle,Aromatic Hop
,1,Golden Star,Aromatic Hop
,1,Golding (BC),Aromatic Hop
,1,Golding (US),Aromatic Hop
,1,Groene Bel,Aromatic Hop
,1,Hallertau,Aromatic Hop
,1,Hallertau (NZ),Aromatic Hop
,1,Hallertau (US),Aromatic Hop
,1,Hallertau Blanc,Aromatic Hop
,1,Hallertauer Gold,Aromatic Hop
,1,Hallertauer Tradition,Aromatic Hop
,1,Helga,Aromatic Hop
,1,Hersbrucker,Aromatic Hop
,1,Hersbrucker E,Aromatic Hop
,1,Hersbrucker Pure,Aromatic Hop
,1,Hersbrucker Red-Stem,Aromatic Hop
,1,Hüll Melon,Aromatic Hop
,1,Hybrid-2,Aromatic Hop
,1,Ivanhoe,Aromatic Hop
,1,Janus,Aromatic Hop
,1,Jester®,Aromatic Hop
,1,Keyworth’s Early,Aromatic Hop
,1,Keyworth’s Midseason,Aromatic Hop
,1,Kohatu®,Aromatic Hop
,1,Landhopfen,Aromatic Hop
,1,Liberty,Aromatic Hop
,1,Lubelska,Aromatic Hop
,1,Lubelska-Pulawy,Aromatic Hop
,1,Lucan,Aromatic Hop
,1,Mandarina Bavaria,Aromatic Hop
,1,Mathon,Aromatic Hop
,1,Motueka,Aromatic Hop
,1,Mount Hood,Aromatic Hop
,1,Mount Rainier,Aromatic Hop
,1,Nadwislanska,Aromatic Hop
,1,Nordgaard,Aromatic Hop
,1,Olympic,Aromatic Hop
,1,Omega,Aromatic Hop
,1,Pacific Jade,Aromatic Hop
,1,Pacifica,Aromatic Hop
,1,Palisade®,Aromatic Hop
,1,Petham Golding,Aromatic Hop
,1,Pocket Talisman,Aromatic Hop
,1,Precoce de Bourgogne,Aromatic Hop
